Make,cc,Age,Gender,DriveStyle,Serviced,Daily_commute,Commute_type,mpg,l_day
Vauxhall,1600,39,male,rational,yes,32,urban,40.832924999999996,4.408207347379596
Porsche,1600,40,male,nervous,no,38,highway,50.16313750061249,4.261097105367265
Mitsubishi,2500,42,female,rational,yes,48,urban,24.88864,10.848322768941976
Opel,1600,33,female,speedy,yes,32,highway,45.49995,3.956048303349783
Ford,2000,25,male,rational,yes,25,urban,32.66634,4.304889987675387
Audi,2000,63,male,speedy,no,47,urban,26.45944140294,9.991707533577197
Seat,1300,46,male,speedy,yes,25,highway,58.79993538461538,2.3915842607676336
Opel,2000,34,male,speedy,yes,22,urban,29.399706000000002,4.209225765727044
Ford,2000,28,male,speedy,yes,49,highway,38.219958000000005,7.2115463863147085
Hyundai,1600,32,male,rational,yes,25,urban,40.832924999999996,3.4439119901403097
Volkswagen,2500,39,female,speedy,no,29,urban,20.15957440224,8.091688680782596
Toyota,1500,36,male,speedy,yes,33,highway,50.95994399999999,3.6425667971691658
Audi,1000,64,male,rational,yes,26,urban,65.33268,2.238542793591201
Opel,2400,35,female,rational,yes,32,highway,33.70366666666667,5.340665209522207
Volkswagen,1300,80,female,rational,yes,40,urban,47.86276923076923,4.700939866541522
Ford,2000,27,male,rational,yes,42,highway,42.46662,5.563192926585634
Mini,1000,32,female,rational,yes,24,highway,80.8888,1.6689578779756897
Audi,2500,51,female,rational,yes,24,urban,24.88864,5.424161384470988
Hyundai,1600,65,male,rational,yes,27,highway,53.083275,2.861070647958326
Toyota,1000,50,male,rational,yes,40,urban,65.33268,3.4439119901403092
Audi,2500,25,female,speedy,no,42,highway,26.20768000032,9.014533144372768
Audi,2000,34,male,speedy,yes,38,highway,38.219958000000005,5.59262780979508
Toyota,2000,44,male,rational,no,44,highway,38.219533333799994,6.475746258814725
BMW,1600,51,male,nervous,yes,35,highway,55.737438749999995,3.5321859851337356
Audi,2000,44,female,rational,yes,29,urban,31.110799999999998,5.243356004988622
Volvo,1600,29,male,slow,yes,28,urban,40.832924999999996,3.857181428957147
Volkswagen,2000,20,female,distracted,yes,28,urban,31.110799999999998,5.062550625506256
Ford,1600,39,male,rational,yes,33,highway,53.083275,3.4968641252823986
Toyota,1000,72,female,rational,yes,20,highway,80.8888,1.3907982316464083
Ford,1500,35,male,rational,no,36,highway,50.9593777784,3.9737533860908534
Hyundai,1600,38,male,speedy,yes,26,urban,36.7496325,3.9796316330510244
Peugeot,1600,37,male,rational,yes,31,highway,53.083275,3.2849329661743742
Nissan,1600,48,female,speedy,yes,22,urban,34.999649999999995,3.535749643210718
Toyota,2000,42,female,rational,yes,25,urban,31.110799999999998,4.520134487059157
Hyundai,1400,28,male,speedy,no,37,urban,37.7992020042,5.506068619567009
Peugeot,1300,18,female,rational,yes,28,urban,47.86276923076923,3.2906579065790655
Kia,1500,62,female,speedy,no,28,highway,43.679466667199996,3.6058132577491078
Mini,1600,25,male,nervous,yes,45,urban,42.874571249999995,5.9038491259548165
Honda,1600,26,female,speedy,yes,31,urban,34.999649999999995,4.982192679069648
Vauxhall,1300,65,male,rational,no,35,rural,52.3378218468,3.7616200493837937
Ford,2400,84,male,rational,no,36,urban,24.499482780500003,8.265480615010242
Volkswagen,2000,60,female,speedy,no,28,highway,32.7596000004,4.807751010332144
Opel,1600,73,female,speedy,yes,41,urban,34.999649999999995,6.589351607801793
Opel,2400,31,male,rational,no,31,highway,31.849611111500003,5.474949109725175
Ford,1600,13,female,rational,yes,39,highway,50.555499999999995,4.339290482736795
Jeep,1600,52,female,speedy,no,23,urban,31.499335003499997,4.107229564866201
Opel,2000,29,male,rational,no,23,highway,38.219533333799994,3.385049180744061
Seat,1300,35,female,rational,no,49,highway,55.99931624,4.921935096827532
Mitsubishi,2000,73,female,speedy,no,32,urban,25.199468002799996,7.143007938897741
Volkswagen,2000,26,male,speedy,yes,30,urban,29.399706000000002,5.739853316900515
Ford,1600,55,female,rational,no,25,urban,34.999261114999996,4.01794196562998
Toyota,1600,27,male,distracted,yes,30,urban,40.832924999999996,4.132694388168372
Vauxhall,2000,45,male,rational,no,31,urban,29.3993793366,5.931247663549017
Hyundai,1300,42,male,rational,yes,27,highway,65.33326153846153,2.32461990146614
Mitsubishi,2000,51,female,rational,yes,32,urban,31.110799999999998,5.785772143435721
Volkswagen,1500,40,female,speedy,yes,37,urban,37.33296,5.574832534039626
Hyundai,1000,72,female,rational,no,26,highway,72.799111112,2.008953100745931
Dacia,2000,44,male,rational,yes,24,highway,42.46662,3.178967386620362
Renault,2000,42,female,rational,yes,21,urban,31.110799999999998,3.796912969129692
Volkswagen,2400,23,female,distracted,yes,40,highway,33.70366666666667,6.675831511902759
Audi,1300,52,female,rational,yes,31,urban,47.86276923076923,3.6432283965696795
Skoda,1300,31,male,speedy,yes,33,urban,45.23031692307692,4.1039951215838695
Ford,2400,25,female,speedy,yes,31,highway,30.3333,5.748632690805154
Volkswagen,2000,73,female,rational,no,44,urban,27.999408891999998,8.839472324385955
Toyota,1500,32,female,speedy,no,36,urban,33.599290670399995,6.026912948444969
Peugeot,1600,36,male,nervous,yes,45,urban,42.874571249999995,5.9038491259548165
Nissan,2000,49,male,rational,yes,24,highway,42.46662,3.178967386620362
Mazda,1600,28,female,rational,no,39,highway,45.499444444999995,4.821487441790237
BMW,2000,37,male,slow,no,42,urban,29.3993793366,8.035883931259958
Renault,2000,50,female,speedy,no,24,urban,25.199468002799996,5.357255954173306
BMW,1600,35,male,nervous,no,24,urban,38.586685379287495,3.4986161333376695
Volkswagen,1300,25,female,rational,no,48,highway,55.99931624,4.821487441790236
Opel,1300,29,male,rational,no,48,urban,45.229814364,5.969513777507397
Renault,1600,35,male,rational,yes,23,urban,40.832924999999996,3.168399030929085
Volvo,1600,45,female,rational,no,42,highway,45.499444444999995,5.192371091158716
Toyota,1600,34,female,rational,no,25,highway,45.499444444999995,3.090697078070664
Fiat,1400,26,female,rational,no,29,highway,51.99936508,3.1370575342417237
Honda,1500,21,female,distracted,no,33,highway,48.53274074133333,3.824737634112447
Volkswagen,1500,40,female,rational,no,44,highway,48.53274074133333,5.099650178816596
Kia,2400,44,female,speedy,no,37,urban,20.999556669,9.910923515220615
Volkswagen,1600,35,male,distracted,yes,48,urban,40.832924999999996,6.612311021069394
Toyota,1600,38,female,speedy,no,31,urban,31.499335003499997,5.535831152645749
Skoda,2000,31,female,speedy,yes,31,highway,36.39996,4.790527242337629
Volvo,1600,47,female,rational,yes,26,highway,50.555499999999995,2.89286032182453
BMW,1600,29,female,rational,no,29,highway,45.499444444999995,3.5852086105619705
Ford,1600,43,male,rational,yes,49,rural,47.2499475,5.8333398148220175
Seat,2000,42,male,speedy,yes,42,highway,38.219958000000005,6.181325473984036
Skoda,1600,17,male,rational,yes,41,urban,40.832924999999996,5.648015663830108
Hyundai,1500,58,female,rational,yes,20,highway,53.92586666666666,2.086197347469613
Ford,1400,62,male,slow,no,41,highway,54.599333334,4.22395267336324
Ford,1300,23,female,slow,yes,23,urban,47.86276923076923,2.703040423261375
Peugeot,2000,73,female,speedy,yes,37,urban,27.99972,7.433110045386168
Peugeot,1300,68,male,rational,yes,37,highway,65.33326153846153,3.185590235342488
Ford,1600,28,female,speedy,no,22,highway,40.949500000499995,3.022014920780205
Vauxhall,1300,45,male,rational,yes,48,urban,50.25590769230769,5.372502704618883
Hyundai,1600,25,female,rational,yes,39,urban,38.8885,5.641127839849826
Land Rover,1000,73,male,nervous,no,37,highway,80.26102000098,2.593101856884684
Vauxhall,2000,69,female,nervous,no,27,highway,38.219533333799994,3.9737533860908543
Seat,1400,63,male,distracted,no,40,highway,54.599333334,4.120929437427551
Audi,2000,42,female,speedy,yes,38,rural,32.399964,6.597229552477281
Nissan,1000,27,male,rational,yes,27,highway,84.93324,1.7881691549739536
Nissan,2000,37,female,slow,yes,49,urban,31.110799999999998,8.859463594635947
Audi,1600,27,female,rational,no,27,urban,34.999261114999996,4.339377322880378
Toyota,2000,43,female,distracted,yes,40,rural,35.99996,6.250006944452161
Mini,2000,28,female,rational,no,22,highway,36.399555556,3.3997667858777296
Hyundai,1000,49,male,rational,no,32,urban,58.7987586732,3.06128911667046
Opel,1000,28,male,rational,yes,20,rural,75.599916,1.488096891536229
Mazda,1300,29,female,rational,yes,39,urban,47.86276923076923,4.583416369877984
Citroen,1600,17,male,rational,yes,25,highway,53.083275,2.649139488850302
BMW,2400,74,male,rational,yes,39,highway,35.388850000000005,6.198986403909705
Audi,1600,41,female,nervous,yes,23,urban,40.832924999999996,3.168399030929085
Renault,1600,59,female,rational,yes,46,highway,50.555499999999995,5.118137492458784
Toyota,2000,47,female,rational,no,47,highway,36.399555556,7.263138133466059
Honda,2000,52,male,nervous,no,36,highway,40.13051000049,5.046036045829656
Opel,1600,32,male,speedy,yes,37,rural,42.52495275,4.894185332163596
Ford,1000,20,male,rational,yes,37,urban,65.33268,3.1856185908797863
Suzuki,1400,44,female,rational,no,34,urban,39.99915556,4.781350939099676
Ford,1600,56,male,speedy,yes,37,highway,47.774947499999996,4.356362714998275
Volkswagen,1500,33,male,distracted,no,49,urban,39.1991724488,7.031398439852463
Opel,1000,27,male,nervous,no,41,urban,61.73869660686,3.7355016006990733
Ford,1500,55,female,rational,yes,35,urban,41.48106666666666,4.746141211412113
Renault,2000,53,female,rational,no,45,urban,27.999408891999998,9.040369422667455
Suzuki,1500,71,female,rational,yes,39,urban,41.48106666666666,5.288557349859213
Kia,1600,29,female,rational,yes,24,highway,50.555499999999995,2.6703326047611045
Dacia,2000,43,male,rational,yes,49,urban,32.66634,8.437584375843757
Citroen,2000,57,female,rational,yes,25,highway,40.4444,3.4769955791160205
Hyundai,1300,56,male,rational,yes,21,urban,50.25590769230769,2.3504699332707615
Toyota,2000,29,male,rational,yes,44,urban,32.66634,7.57660637830868
Seat,1300,39,male,rational,yes,25,highway,65.33326153846153,2.1524258346908702
Opel,2000,74,female,rational,yes,45,urban,31.110799999999998,8.136242076706482
Toyota,1500,28,male,rational,no,39,highway,50.9593777784,4.304899501598425
Hyundai,2000,39,female,distracted,yes,32,highway,40.4444,4.450554341268506
Volkswagen,1600,31,male,speedy,no,20,highway,42.996975000525,2.616463134874636
Volkswagen,1600,44,female,rational,yes,21,highway,50.555499999999995,2.3365410291659665
Peugeot,1600,25,female,speedy,yes,39,highway,45.49995,4.8214338697075485
Toyota,1400,30,male,rational,yes,43,highway,60.6666,3.9869549307197034
Nissan,2400,44,female,rational,yes,35,highway,33.70366666666667,5.841352572914914
Ford,2000,43,female,rational,yes,32,highway,40.4444,4.450554341268506
Peugeot,1600,26,female,rational,yes,47,urban,38.8885,6.79828226853697
Audi,2000,28,female,rational,yes,23,urban,31.110799999999998,4.1585237280944245
Seat,2000,57,male,rational,no,44,urban,29.3993793366,8.418545070843765
Skoda,1400,41,female,rational,yes,20,urban,44.444,2.5312753127531273
Audi,1500,49,male,rational,yes,46,urban,43.555119999999995,5.940748182992033
Nissan,2000,28,male,rational,yes,40,highway,42.46662,5.298278977700603
Skoda,1600,42,male,rational,no,46,urban,36.74922417075,7.04096496834206
Honda,2000,43,female,rational,yes,24,highway,40.4444,3.3379157559513795
Renault,1600,27,male,speedy,yes,25,highway,47.774947499999996,2.94348832094478
Nissan,1300,17,female,rational,no,36,urban,43.076013679999996,4.700992099787076
Volkswagen,1600,49,male,rational,no,37,urban,36.74922417075,5.663384865840352
Audi,1600,45,female,distracted,yes,29,urban,38.8885,4.194684803990897
Vauxhall,2000,27,female,speedy,yes,43,urban,27.99972,8.638479241935277
Volkswagen,2000,41,female,distracted,yes,23,highway,40.4444,3.198835932786739
Hyundai,1600,21,male,rational,yes,44,highway,53.083275,4.6624855003765315
Kia,1500,26,female,speedy,yes,41,urban,37.33296,6.17751713231418
Ford,1000,20,male,rational,no,45,highway,76.43906666759999,3.311461155075712
Opel,1000,36,female,rational,yes,38,highway,80.8888,2.6425166401281754
Skoda,1600,25,male,rational,no,29,highway,47.774416667249994,3.4144843910114
Vauxhall,1600,71,male,nervous,yes,45,highway,55.737438749999995,4.541381980886232
Audi,2000,32,male,rational,no,27,highway,38.219533333799994,3.9737533860908543
Mercedes Benz,1400,25,female,rational,yes,35,urban,44.444,4.429731797317973
Skoda,2000,25,male,rational,yes,42,highway,42.46662,5.563192926585634
Mercedes Benz,1600,33,male,rational,yes,23,highway,53.083275,2.4372083297422775
Toyota,2000,60,male,nervous,yes,22,urban,34.299656999999996,3.60790779919461
Volkswagen,1600,47,female,rational,yes,40,urban,38.8885,5.785772143435719
Opel,1600,27,male,rational,no,42,highway,47.774416667249994,4.945115324913062
Kia,2000,66,female,nervous,yes,24,urban,32.66634,4.132694388168371
Ford,1300,38,male,rational,no,36,highway,58.799282051999995,3.44391960127874
Opel,2000,39,male,rational,yes,45,rural,37.799958,6.69643601191303
Audi,1500,28,male,rational,yes,22,urban,43.555119999999995,2.8412273918657553
Volkswagen,2500,68,female,rational,no,36,highway,29.1196444448,6.954068425658994
Volkswagen,2000,48,female,speedy,yes,35,highway,36.39996,5.408659789736032
Renault,2000,33,male,speedy,yes,37,urban,29.399706000000002,7.079152424177302
Nissan,2000,33,male,rational,no,44,highway,38.219533333799994,6.475746258814725
BMW,2000,30,male,speedy,yes,32,urban,29.399706000000002,6.122510204693882
Toyota,1600,29,male,rational,no,37,urban,36.74922417075,5.663384865840352
Ford,2000,45,female,rational,yes,40,highway,40.4444,5.563192926585633
Land Rover,2000,26,female,rational,yes,34,highway,40.4444,4.7287139875977875
Audi,1300,42,male,speedy,yes,24,highway,58.79993538461538,2.295920890336928
Volkswagen,2500,39,male,speedy,yes,25,urban,23.5197648,5.979013871771371
Renault,2000,45,male,nervous,no,44,highway,40.13051000049,6.167377389347356
Volkswagen,1300,23,male,rational,no,26,highway,58.799282051999995,2.487275267590201
Volkswagen,1600,48,male,speedy,yes,48,highway,47.774947499999996,5.651497576213977
Toyota,1400,17,male,rational,yes,27,urban,46.6662,3.254496830682592
Renault,1600,64,female,speedy,no,29,urban,31.499335003499997,5.178680755700862
Ford,1400,68,male,speedy,yes,31,urban,41.99958,4.151827232558039
Toyota,1600,25,male,rational,no,45,urban,36.74922417075,6.887900512508537
Hyundai,1500,44,female,rational,no,35,urban,37.33254518933333,5.273548829889347
Toyota,2400,42,male,rational,yes,27,highway,35.388850000000005,4.291605971937488
Ford,1400,35,male,speedy,yes,36,highway,54.599940000000004,3.7087952843904213
Hyundai,2000,65,male,nervous,yes,46,highway,44.589951,5.802876975576852
Hyundai,2000,21,male,speedy,yes,43,highway,38.219958000000005,6.328499890031274
Ford,1600,27,female,speedy,no,36,highway,40.949500000499995,4.945115324913062
Suzuki,2000,59,male,rational,no,34,highway,38.219533333799994,5.003985745447742
Skoda,1500,48,male,speedy,yes,20,urban,39.199608,2.869926658450258
Hyundai,1600,55,male,rational,yes,27,urban,40.832924999999996,3.7194249493515343
Volkswagen,1300,57,female,rational,yes,48,highway,62.222153846153844,4.339290482736794
Toyota,2000,49,female,rational,yes,21,urban,31.110799999999998,3.796912969129692
Hyundai,1600,74,male,rational,yes,34,urban,40.832924999999996,4.683720306590821
Audi,2000,42,female,rational,yes,43,urban,31.110799999999998,7.77463131774175
Seat,1300,54,female,rational,no,24,rural,49.845544616,2.7083664355563313
Audi,1400,26,male,speedy,yes,38,highway,54.599940000000004,3.914839466856556
Peugeot,1600,59,male,rational,yes,24,urban,40.832924999999996,3.306155510534697
Nissan,2000,69,male,speedy,yes,46,highway,38.219958000000005,6.770023138172991
Vauxhall,1500,34,female,rational,no,39,urban,37.33254518933333,5.876240124733845
Skoda,1400,51,male,rational,yes,28,urban,46.6662,3.375033750337503
Peugeot,1300,42,male,rational,yes,32,highway,65.33326153846153,2.755105068404314
Toyota,1600,35,male,rational,yes,47,highway,53.083275,4.980382239038567
Nissan,1300,36,female,rational,yes,26,urban,47.86276923076923,3.0556109132519893
Audi,1000,52,female,distracted,yes,27,rural,71.99992,2.109377343752604
BMW,1300,57,male,rational,yes,40,highway,65.33326153846153,3.4438813355053925
BMW,1000,56,male,rational,yes,34,rural,75.599916,2.529764715611589
Toyota,2000,60,male,rational,yes,22,highway,42.46662,2.914053437735332
Toyota,1400,61,male,rational,yes,26,highway,60.6666,2.4107169348537743
Audi,2000,82,female,rational,yes,39,urban,31.110799999999998,7.051409799812284
Kia,2000,23,male,rational,yes,28,highway,42.46662,3.708795284390422
Hyundai,2400,74,female,rational,yes,35,highway,33.70366666666667,5.841352572914914
Toyota,1500,32,male,rational,yes,40,urban,43.555119999999995,5.165867985210464
Kia,1600,42,female,speedy,yes,31,urban,34.999649999999995,4.982192679069648
Mercedes Benz,2000,24,male,rational,no,42,highway,38.219533333799994,6.181394156141328
Hyundai,1500,28,male,rational,no,23,highway,50.9593777784,2.538786885558045
Ford,1300,19,female,speedy,no,30,highway,50.39938461599999,3.348255167909886
Ford,1500,47,female,speedy,no,35,urban,33.599290670399995,5.8594986998770535
Mitsubishi,2500,54,female,rational,yes,22,highway,32.35552,3.824695137027623
Volkswagen,1400,69,female,rational,yes,47,highway,57.77771428571429,4.575726182116683
Mercedes Benz,2000,29,female,rational,no,49,highway,36.399555556,7.5722078412731255
Renault,1000,29,male,rational,yes,43,highway,84.93324,2.8478249505140742
Hyundai,2000,57,female,rational,no,29,rural,32.399604000400004,5.034783758405999
Volkswagen,1400,30,male,rational,no,49,highway,54.599333334,5.04813856084875
Hyundai,2000,23,male,rational,yes,41,highway,42.46662,5.430735952143118
Audi,1600,25,male,rational,no,45,urban,36.74922417075,6.887900512508537
Citroen,2000,19,male,distracted,yes,21,highway,42.46662,2.781596463292817
Dacia,2000,32,female,rational,yes,42,urban,31.110799999999998,7.593825938259384
Peugeot,2000,42,female,distracted,no,21,highway,36.399555556,3.2452319319741965
Mazda,2400,27,female,rational,yes,35,urban,25.925666666666668,7.593825938259383
Hyundai,1300,35,female,rational,yes,39,urban,47.86276923076923,4.583416369877984
Volkswagen,2000,36,male,rational,yes,30,highway,42.46662,3.9737092332754527
Mazda,1500,28,male,rational,no,25,highway,50.9593777784,2.7595509625630927
Skoda,1300,19,male,speedy,no,35,highway,52.91935384679999,3.720283519899874
Toyota,1600,42,female,speedy,no,49,highway,40.949500000499995,6.730851414465001
Kia,1300,61,male,rational,no,47,urban,45.229814364,5.84514890714266
Peugeot,1300,19,female,speedy,no,41,highway,50.39938461599999,4.575948729476845
Hyundai,2000,43,male,rational,yes,35,highway,42.46662,4.635994105488028
Audi,1300,56,female,nervous,yes,23,highway,65.33326153846153,1.9802317679156007
Honda,2000,34,male,speedy,yes,32,rural,34.0199622,5.291011169906591
Dacia,1600,42,male,rational,no,32,highway,47.774416667249994,3.767706914219476
Nissan,1500,63,male,rational,yes,41,highway,56.622159999999994,4.073051964107339
Nissan,1600,22,male,rational,yes,48,highway,53.083275,5.0863478185925795
Opel,2000,60,female,rational,no,44,highway,36.399555556,6.799533571755459
Renault,1400,46,female,rational,no,27,rural,46.285148572,3.2812901046163248
Peugeot,2000,62,male,rational,yes,46,urban,32.66634,7.920997577322711
Volkswagen,1500,71,female,speedy,no,42,urban,33.599290670399995,7.031398439852464
Chevrolet,1500,35,female,rational,no,27,highway,48.53274074133333,3.1293307915465474
Skoda,1600,68,male,rational,no,20,highway,47.774416667249994,2.3548168213871725
Audi,1400,39,female,speedy,yes,40,highway,51.999942857142855,4.326927831788826
Volkswagen,1600,53,female,speedy,yes,25,urban,34.999649999999995,4.017897321830361
Mazda,1000,26,female,speedy,no,26,urban,50.39893600559999,2.9018469751772074
Nissan,1600,27,female,rational,yes,23,urban,38.8885,3.3268189824755385
Audi,1600,70,male,distracted,no,30,highway,47.774416667249994,3.5322252320807586
Volkswagen,2000,41,male,distracted,yes,49,urban,32.66634,8.437584375843757
Ford,1600,39,female,rational,yes,29,urban,38.8885,4.194684803990897
Citroen,1600,44,female,rational,yes,40,highway,50.555499999999995,4.450554341268507
Mini,1500,39,female,rational,no,43,highway,48.53274074133333,4.983749038388946
Volkswagen,1500,48,female,speedy,yes,33,urban,37.33296,4.972147935765071
Ford,2000,26,female,rational,no,34,highway,36.399555556,5.254185032720128
Seat,1600,41,male,rational,no,25,highway,47.774416667249994,2.9435210267339658
Toyota,1600,45,male,speedy,yes,26,highway,47.774947499999996,3.061227853782571
Jeep,1600,45,female,speedy,no,40,highway,40.949500000499995,5.494572583236736
Skoda,1500,27,female,rational,yes,24,highway,53.92586666666666,2.5034368169635357
Skoda,2000,61,male,rational,no,27,urban,29.3993793366,5.165925384381401
Toyota,1400,42,male,rational,yes,21,urban,46.6662,2.5312753127531273
Toyota,1000,59,female,rational,yes,27,urban,62.221599999999995,2.440872623011945
Nissan,1300,65,female,nervous,yes,40,highway,65.33326153846153,3.4438813355053925
Hyundai,1500,28,female,rational,yes,25,urban,41.48106666666666,3.390100865294367
