Make,cc,Age,Gender,DriveStyle,Serviced,distance,Commute_type
Audi,1300,44,female,rational,no,32,highway
Toyota,1300,26,male,rational,no,26,highway
Ford,1600,42,male,speedy,no,30,highway
Nissan,1500,55,male,speedy,yes,47,highway
Audi,2400,51,male,slow,yes,43,urban
Seat,1600,25,male,rational,yes,35,urban
Hyundai,2000,77,male,speedy,yes,36,highway
Toyota,1500,45,male,rational,no,36,urban
Mini,1400,48,female,speedy,yes,28,highway
Skoda,2000,26,female,rational,no,29,urban
Volkswagen,2400,20,female,speedy,yes,29,highway
Peugeot,1300,30,male,rational,yes,32,highway
Volkswagen,<900,51,male,rational,no,38,highway
Vauxhall,1600,66,female,speedy,no,27,highway
Renault,2000,25,male,rational,no,34,urban
Peugeot,1400,33,female,rational,yes,48,urban
Kia,1300,33,female,rational,no,38,highway
Ford,1500,26,male,rational,yes,29,urban
Mini,2000,30,male,nervous,yes,31,urban
Nissan,1400,49,male,rational,no,35,highway
Vauxhall,1600,28,female,speedy,no,44,urban
Ford,2000,28,male,rational,yes,25,highway
Mercedes Benz,1600,16,female,speedy,no,30,highway
Peugeot,1600,30,male,distracted,yes,38,urban
Ford,1600,69,male,rational,yes,45,highway
Nissan,2000,39,female,rational,no,49,highway
Kia,1400,53,female,speedy,yes,48,urban
Hyundai,1500,16,female,rational,yes,32,urban
Kia,2400,25,male,rational,yes,39,highway
Toyota,2000,34,female,speedy,yes,34,urban
Renault,1600,31,male,rational,yes,37,urban
Seat,1600,25,female,rational,yes,43,highway
Opel,2000,45,female,rational,yes,26,highway
Peugeot,2000,44,male,rational,no,35,highway
Opel,1600,50,male,speedy,yes,49,urban
Nissan,1500,29,female,rational,no,41,rural
Ford,2000,20,female,speedy,no,43,urban
Volkswagen,2000,61,female,rational,yes,44,urban
Ford,1500,25,female,nervous,yes,32,urban
Ford,1600,28,male,slow,yes,42,urban
Ford,1600,26,female,nervous,yes,37,urban
Ford,2000,73,male,slow,yes,26,highway
Fiat,2000,18,male,speedy,yes,34,highway
Volkswagen,1600,48,female,nervous,yes,38,highway
Opel,1500,41,female,rational,yes,40,highway
BMW,1400,52,male,rational,yes,34,urban
Renault,2400,28,male,speedy,no,41,highway
Dacia,1500,72,female,speedy,no,41,rural
Volkswagen,2000,40,male,speedy,no,45,urban
Opel,2000,36,male,rational,yes,40,urban
Volvo,2000,39,male,distracted,no,35,urban
Toyota,1500,29,female,rational,yes,33,urban
BMW,1300,69,male,nervous,yes,47,highway
Hyundai,1600,29,male,speedy,yes,49,highway
Ford,1600,47,female,speedy,yes,45,highway
Vauxhall,2000,35,female,nervous,yes,34,highway
Volkswagen,1500,80,male,rational,no,26,rural
Ford,1600,60,female,rational,yes,45,highway
Ford,2000,49,male,nervous,yes,27,highway
Nissan,1600,27,male,rational,yes,26,urban
Mercedes Benz,1500,63,female,speedy,yes,42,urban
Hyundai,1500,47,male,rational,yes,41,highway
BMW,1600,32,male,rational,yes,41,urban
Hyundai,1600,63,male,speedy,yes,34,urban
Skoda,1400,40,female,rational,yes,45,highway
Skoda,2000,21,female,rational,yes,28,highway
Hyundai,1300,83,male,rational,yes,44,highway
Seat,1500,60,female,rational,no,39,highway
BMW,2000,34,female,speedy,no,28,highway
Ford,2000,30,male,slow,yes,39,rural
Toyota,1000,43,male,rational,yes,41,rural
Skoda,2000,51,male,rational,yes,42,highway
Ford,1000,40,male,rational,no,46,highway
Ford,2400,52,male,speedy,yes,43,highway
Land Rover,<900,67,female,rational,no,49,urban
Honda,1600,51,male,rational,no,46,urban
Volvo,1500,61,male,rational,yes,39,rural
Ford,2400,18,female,rational,yes,41,urban
Fiat,1000,31,male,rational,yes,38,highway
Volkswagen,1300,73,male,rational,no,30,urban
Volkswagen,1500,37,female,distracted,no,27,highway
Peugeot,2000,32,female,rational,no,27,urban
Skoda,1600,67,male,rational,no,48,highway
Vauxhall,2000,31,male,distracted,no,49,urban
Toyota,1300,54,female,nervous,yes,39,highway
Ford,1600,38,male,nervous,yes,26,rural
Opel,1600,37,male,rational,yes,48,urban
Volkswagen,1300,61,male,rational,no,30,urban
Volkswagen,1300,61,male,nervous,yes,30,highway
Ford,1500,29,female,speedy,no,37,highway
BMW,1500,15,female,distracted,no,29,urban
Mercedes Benz,1300,40,male,rational,no,27,urban
Nissan,1600,31,male,rational,yes,27,rural
Audi,1500,64,male,rational,yes,30,highway
Suzuki,2000,30,male,rational,yes,38,highway
Nissan,1300,53,female,speedy,yes,36,highway
Nissan,2000,27,male,rational,yes,39,highway
Mini,1300,38,male,rational,yes,38,urban
Mercedes Benz,1300,29,male,speedy,yes,25,urban
Citroen,1400,32,female,rational,yes,40,urban
Mercedes Benz,2000,35,male,rational,no,39,urban
Kia,2000,28,male,distracted,yes,42,urban
Vauxhall,1500,66,female,rational,yes,43,highway
BMW,2000,55,male,rational,no,39,highway
BMW,2000,64,male,rational,no,31,highway
Skoda,1300,48,male,speedy,yes,39,urban
Opel,1300,26,female,rational,yes,27,urban
Vauxhall,1300,20,male,speedy,no,41,highway
BMW,1500,31,female,rational,yes,38,urban
Mercedes Benz,1000,62,male,speedy,yes,28,highway
Hyundai,1600,31,male,rational,yes,39,urban
BMW,2000,44,female,speedy,yes,38,highway
Volkswagen,1500,57,female,slow,yes,34,highway
Ford,2000,30,female,rational,yes,28,highway
Hyundai,1600,21,male,rational,no,33,urban
Renault,1000,30,female,speedy,yes,39,highway
Nissan,1600,27,female,rational,yes,45,highway
Lexus,1600,46,female,distracted,yes,30,urban
Renault,1500,45,male,speedy,no,41,urban
Peugeot,1600,42,male,rational,yes,48,urban
Dacia,2400,41,female,rational,yes,29,highway
Audi,1600,36,male,rational,no,42,highway
Ford,1600,43,male,rational,no,48,urban
Skoda,1400,25,female,speedy,yes,30,highway
Volkswagen,1600,26,female,rational,yes,31,highway
Hyundai,1400,26,male,distracted,yes,32,highway
Kia,2400,35,female,nervous,yes,47,highway
Nissan,1400,45,male,speedy,yes,43,highway
Skoda,2000,37,male,rational,yes,48,highway
Kia,2000,32,female,rational,no,34,urban
Opel,2000,72,male,rational,yes,25,urban
Ford,1500,64,male,speedy,yes,42,urban
Hyundai,2000,59,female,rational,no,45,highway
Skoda,1600,38,male,rational,yes,49,rural
Toyota,2000,46,male,speedy,yes,28,highway
Ford,1000,34,male,rational,yes,46,highway
Skoda,2000,25,male,rational,yes,30,urban
Peugeot,2000,59,female,slow,no,31,highway
Skoda,1300,36,male,speedy,no,34,rural
Opel,2000,33,female,rational,no,43,urban
Nissan,1400,31,female,speedy,yes,44,highway
Volkswagen,2000,48,female,rational,yes,26,urban
BMW,2000,34,female,rational,yes,41,urban
Ford,1500,31,male,speedy,yes,28,highway
Vauxhall,1400,72,female,rational,yes,35,highway
Toyota,2000,64,female,distracted,no,36,highway
Ford,1300,54,male,rational,yes,47,urban
Opel,1600,27,male,rational,yes,29,highway
Vauxhall,2000,40,female,rational,yes,46,highway
Toyota,1300,27,female,distracted,yes,40,highway
Toyota,1000,47,female,slow,yes,36,urban
BMW,1500,31,female,rational,yes,32,urban
Dacia,1000,32,male,rational,no,49,highway
Citroen,1000,48,female,rational,no,49,urban
Ford,1600,58,female,rational,yes,32,highway
Audi,2000,37,female,rational,yes,34,urban
Ford,2000,61,male,nervous,no,34,highway
Ford,1600,20,female,rational,yes,27,highway
Citroen,1500,32,female,rational,yes,40,highway
Hyundai,1400,61,female,speedy,no,48,highway
Volkswagen,2000,58,male,rational,yes,36,highway
Renault,1600,53,male,rational,no,36,highway
Volvo,1300,36,male,rational,yes,25,highway
Kia,1500,78,male,rational,yes,32,highway
Skoda,1600,36,female,rational,yes,46,highway
Volkswagen,1600,51,male,distracted,yes,34,urban
Audi,2000,68,female,nervous,yes,31,highway
Audi,2000,44,female,rational,yes,44,highway
Skoda,2000,46,male,distracted,yes,47,rural
Volvo,2000,45,male,rational,no,45,urban
Mercedes Benz,2000,33,female,rational,yes,38,highway
Audi,2000,59,male,rational,yes,43,highway
Opel,1600,40,female,distracted,yes,43,highway
Hyundai,1600,19,female,rational,yes,43,urban
Hyundai,1000,42,female,nervous,no,35,highway
Saab,1600,25,female,slow,no,44,highway
Peugeot,1600,37,female,speedy,no,44,highway
Vauxhall,2000,40,female,rational,yes,43,highway
Skoda,1300,40,female,rational,no,25,urban
Ford,2000,33,female,distracted,yes,31,urban
Vauxhall,2000,82,male,speedy,yes,32,urban
Hyundai,1600,65,male,speedy,no,47,urban
Hyundai,1600,29,male,rational,yes,29,highway
Vauxhall,1300,29,male,speedy,no,37,urban
Volvo,1000,33,male,distracted,yes,26,urban
Audi,1300,47,male,nervous,yes,27,highway
Citroen,1600,44,male,nervous,yes,37,rural
Kia,1400,33,male,rational,yes,40,urban
Audi,2000,53,female,rational,no,38,highway
Volkswagen,1400,55,female,rational,yes,31,highway
Mini,2000,71,male,rational,yes,43,urban
Volkswagen,1300,34,female,distracted,yes,48,urban
Skoda,1600,43,female,rational,no,42,urban
Nissan,1500,21,male,rational,yes,49,urban
BMW,1400,40,female,speedy,no,33,urban
Peugeot,1000,37,male,speedy,yes,47,highway
Toyota,2400,29,male,speedy,no,28,urban
Volkswagen,1600,46,female,rational,yes,41,urban
Mitsubishi,2000,62,female,rational,no,36,urban
Ford,1000,31,female,rational,yes,47,highway
Nissan,1000,43,male,speedy,yes,46,highway
Ford,2000,54,male,speedy,no,41,highway
Hyundai,1400,59,male,speedy,yes,45,urban
Opel,1400,32,male,slow,yes,29,urban
Volkswagen,1600,25,male,distracted,yes,43,highway
Opel,1500,20,female,rational,yes,28,urban
Nissan,2000,78,male,rational,no,31,urban
BMW,1600,27,female,rational,yes,25,highway
Ford,2000,29,male,speedy,yes,25,urban
Skoda,2000,31,female,rational,no,47,urban
Audi,1600,46,female,nervous,yes,44,highway
Volkswagen,1400,27,male,slow,yes,37,urban
Audi,1600,69,male,distracted,yes,35,highway
Toyota,2000,52,female,rational,no,49,highway
Jaguar,2000,28,male,rational,no,30,urban
Ford,2000,25,male,distracted,no,37,highway
Mercedes Benz,2000,28,female,rational,yes,46,rural
Mercedes Benz,2000,53,male,rational,yes,30,urban
BMW,1000,43,female,rational,yes,34,highway
BMW,1300,42,female,rational,yes,39,urban
Kia,1300,28,male,speedy,yes,32,urban
Nissan,2000,43,female,rational,yes,49,urban
Kia,1500,40,female,distracted,yes,32,highway
Renault,2000,37,female,rational,yes,39,highway
Honda,2400,39,female,speedy,yes,34,urban
Opel,1500,29,male,rational,yes,32,highway
Opel,1000,41,male,rational,yes,41,urban
Toyota,1500,28,male,speedy,yes,32,urban
Audi,1400,41,male,rational,yes,40,highway
Hyundai,2000,29,male,rational,yes,33,urban
Hyundai,1400,45,male,rational,yes,30,highway
Toyota,1500,20,female,rational,yes,45,urban
Nissan,2400,35,male,slow,no,37,highway
Ford,1600,26,male,rational,yes,48,highway
Dacia,1300,51,male,distracted,yes,35,highway
Mercedes Benz,1300,40,female,rational,yes,27,highway
Opel,2000,46,male,rational,yes,39,urban
Hyundai,2000,42,male,nervous,no,25,urban
Kia,2000,40,male,rational,yes,41,urban
Renault,1600,34,female,rational,no,48,highway
Volkswagen,1400,30,female,speedy,yes,36,urban
Volkswagen,2000,49,male,distracted,no,37,urban
Renault,1400,30,male,slow,no,25,urban
Volkswagen,1300,30,male,rational,yes,37,highway
Subaru,>2400,34,male,speedy,yes,35,urban
Toyota,<900,40,female,speedy,yes,49,highway
Toyota,2000,42,male,speedy,yes,46,urban
Toyota,1600,25,male,distracted,yes,37,urban
Citroen,2000,39,male,rational,yes,47,urban
Toyota,2000,64,female,rational,yes,41,highway
Nissan,1000,58,female,speedy,yes,26,urban
Audi,1300,25,female,rational,yes,42,rural
Nissan,2000,40,female,rational,no,28,highway
Ford,2000,74,male,rational,no,30,urban
Volkswagen,1500,83,male,rational,yes,42,urban
Toyota,2000,28,male,speedy,yes,36,highway
Mitsubishi,2000,51,female,distracted,yes,39,highway
Volkswagen,1300,27,female,speedy,yes,43,urban
BMW,1300,56,male,rational,no,29,highway
Nissan,1600,69,female,speedy,no,33,highway
Vauxhall,1600,16,female,speedy,yes,26,highway
Volkswagen,2000,34,male,rational,yes,25,urban
Mercedes Benz,2000,46,male,nervous,yes,31,urban
Mercedes Benz,1600,43,female,speedy,yes,48,urban
Land Rover,1500,66,female,rational,yes,32,urban
Hyundai,1600,62,female,nervous,yes,31,urban
Citroen,2400,69,female,slow,yes,25,urban
Mercedes Benz,1600,52,female,distracted,yes,26,highway
Ford,1500,35,female,rational,yes,33,urban
Hyundai,1600,45,female,speedy,yes,47,urban
Volkswagen,1500,17,female,speedy,no,39,urban
Nissan,2000,35,female,rational,yes,34,highway
Renault,2000,39,female,rational,yes,49,urban
Nissan,1500,47,female,speedy,no,32,urban
Dacia,2000,27,male,rational,yes,47,urban
Volkswagen,1600,53,female,speedy,yes,31,rural
Opel,2000,54,male,rational,yes,29,urban
Renault,>2400,31,female,nervous,yes,37,urban
Volkswagen,2000,43,male,rational,yes,40,highway
Mini,1500,55,male,distracted,yes,40,highway
Audi,1500,34,female,rational,yes,28,urban
Volkswagen,1600,37,male,rational,yes,42,urban
Citroen,1500,23,female,rational,yes,28,highway
Hyundai,1600,33,female,speedy,no,44,urban
Volkswagen,1300,47,male,distracted,yes,39,highway
Audi,1400,43,female,speedy,yes,45,highway
Toyota,1600,25,female,slow,no,29,highway
Seat,1500,16,male,distracted,yes,48,highway
Skoda,1600,34,male,rational,yes,48,urban
Opel,1500,30,male,rational,yes,44,urban
Volkswagen,1600,50,male,rational,no,28,urban
Citroen,1600,44,female,speedy,yes,45,urban
Ford,1500,68,male,rational,yes,29,urban
Vauxhall,1600,27,male,speedy,yes,26,urban
Ford,2000,45,female,rational,yes,43,rural
Volkswagen,2400,32,male,rational,yes,46,highway
Nissan,1300,31,female,nervous,yes,29,highway
Audi,1400,21,male,rational,yes,30,urban
Citroen,1600,44,male,rational,no,32,highway
Ford,1600,53,male,rational,no,26,urban
Vauxhall,1600,44,male,speedy,yes,35,highway
Vauxhall,1600,34,female,speedy,no,37,urban
Kia,1000,61,female,speedy,yes,30,rural
Hyundai,1400,74,male,rational,yes,27,rural
Volkswagen,2000,63,female,rational,yes,49,highway
Toyota,1600,27,male,rational,yes,35,urban
Dacia,1600,16,male,speedy,yes,45,urban
Volkswagen,1300,55,female,rational,yes,47,highway
Hyundai,1500,52,male,speedy,no,25,urban
Opel,1500,32,female,nervous,yes,41,urban
Mercedes Benz,1600,75,male,rational,yes,43,highway
Dacia,1600,34,male,rational,yes,39,highway
Toyota,1300,31,female,rational,yes,41,highway
Volkswagen,1400,36,female,speedy,no,35,highway
Volkswagen,2000,38,male,rational,no,44,highway
Honda,1600,36,female,rational,yes,35,urban
Subaru,2400,24,female,speedy,yes,45,highway
Honda,1600,37,female,rational,yes,27,urban
Peugeot,2000,49,female,rational,no,41,highway
Vauxhall,2000,44,male,rational,yes,35,urban
Citroen,1600,26,male,slow,no,43,highway
Kia,1600,41,male,nervous,yes,35,urban
BMW,>2400,37,male,rational,no,30,urban
BMW,1000,29,male,slow,yes,36,highway
Citroen,1400,60,female,speedy,yes,35,urban
Audi,1600,59,male,rational,no,42,rural
Audi,1600,28,male,rational,yes,31,highway
Nissan,1600,44,female,rational,no,42,highway
Nissan,2000,51,female,rational,yes,31,highway
Hyundai,1500,41,male,rational,no,33,urban
Kia,2000,22,male,rational,yes,32,urban
Toyota,2000,27,female,rational,yes,38,urban
Ford,1600,41,male,rational,yes,30,highway
Hyundai,2000,42,male,nervous,yes,40,highway
Dacia,2000,74,male,rational,yes,49,urban
Toyota,2000,59,male,nervous,yes,42,highway
Skoda,1000,20,male,distracted,yes,27,highway
Vauxhall,1000,25,male,rational,yes,36,highway
Ford,1600,27,female,rational,yes,49,highway
Mercedes Benz,2000,27,male,distracted,no,29,urban
Hyundai,2000,34,male,rational,yes,25,highway
Nissan,1500,31,female,rational,yes,49,highway
Nissan,1600,29,male,distracted,yes,31,urban
Skoda,1500,66,male,rational,yes,43,rural
Hyundai,1300,24,male,rational,no,44,urban
Nissan,2000,42,female,nervous,yes,40,highway
Mazda,1600,25,female,rational,no,31,urban
Mazda,2000,53,female,rational,no,45,urban
Dacia,1000,50,female,slow,no,25,highway
Nissan,1600,40,female,nervous,yes,47,highway
Volkswagen,1400,42,male,rational,yes,39,urban
Audi,1300,38,female,speedy,yes,36,highway
Vauxhall,1400,58,male,rational,no,28,highway
Toyota,1500,28,female,rational,yes,27,urban
Skoda,1600,58,male,rational,yes,37,urban
Volkswagen,1600,42,female,rational,no,49,urban
Renault,1300,44,male,speedy,yes,33,urban
Ford,2000,48,female,speedy,no,36,highway
Peugeot,1500,40,female,rational,no,28,highway
Ford,1600,47,female,distracted,no,35,highway
Nissan,2000,54,female,rational,yes,34,urban
Dacia,>2400,26,female,rational,yes,46,highway
Mercedes Benz,2000,49,male,rational,no,27,urban
Volkswagen,2400,73,female,slow,yes,31,highway
Seat,1000,37,male,rational,yes,38,highway
Ford,1600,80,female,rational,yes,32,highway
Mitsubishi,2000,28,male,rational,no,28,urban
Mercedes Benz,1600,28,male,rational,yes,48,highway
Volkswagen,1400,60,male,rational,yes,46,rural
Mazda,1500,41,male,rational,yes,48,highway
Skoda,1600,26,male,rational,no,35,highway
Volkswagen,1600,52,female,speedy,yes,39,highway
Mazda,1500,43,male,speedy,yes,37,highway
Vauxhall,2000,41,male,speedy,yes,48,urban
Subaru,2000,25,female,rational,yes,28,urban
Hyundai,1400,32,female,speedy,yes,42,highway
Land Rover,1600,50,male,rational,yes,39,highway
Audi,1300,73,female,rational,yes,49,highway
Audi,1300,27,male,rational,no,31,highway
Vauxhall,1000,57,female,rational,yes,45,highway
Toyota,2000,21,female,rational,yes,30,urban
Hyundai,1500,39,male,nervous,no,38,urban
Audi,2000,34,female,distracted,no,36,highway
Nissan,1600,60,male,rational,yes,41,highway
Ford,1300,24,female,rational,yes,31,highway
BMW,>2400,61,male,rational,no,39,highway
Toyota,1600,26,male,rational,yes,38,urban
Fiat,1600,17,male,rational,yes,49,urban
Hyundai,2000,62,female,rational,yes,40,urban
Opel,1600,54,male,rational,yes,45,urban
Opel,2400,21,female,rational,yes,27,urban
Honda,>2400,48,male,slow,no,38,urban
Toyota,1600,36,female,rational,yes,25,urban
Volkswagen,1500,51,male,rational,yes,37,urban
Volvo,2000,50,male,rational,yes,46,urban
Honda,1300,28,female,distracted,no,47,urban
Renault,1600,51,male,speedy,yes,35,highway
Toyota,1500,61,female,speedy,yes,41,urban
Honda,1400,27,female,rational,no,26,urban
Volkswagen,2000,46,female,rational,yes,38,urban
Hyundai,2000,31,male,rational,no,41,urban
BMW,1300,30,male,rational,yes,47,urban
Hyundai,1400,64,male,rational,no,31,urban
Ford,1600,44,male,rational,yes,37,urban
Kia,1600,45,female,rational,yes,33,highway
Mercedes Benz,1500,25,male,speedy,yes,31,highway
Volkswagen,1600,37,male,rational,yes,27,urban
Hyundai,2000,39,male,speedy,yes,36,urban
Ford,1600,33,male,rational,no,43,urban
Volkswagen,1500,49,male,rational,yes,26,urban
Vauxhall,1500,25,male,speedy,yes,47,highway
Toyota,2000,42,male,distracted,yes,44,highway
Volkswagen,1600,36,male,rational,yes,48,highway
Nissan,2000,46,male,speedy,yes,37,highway
Austin,1500,44,female,speedy,no,29,highway
Honda,1500,53,female,rational,no,42,urban
Mazda,2000,59,female,rational,no,47,highway
BMW,1000,33,male,rational,no,37,urban
Toyota,1300,45,male,rational,no,29,urban
Ford,1300,26,male,speedy,no,41,urban
Opel,1600,62,female,speedy,yes,32,urban
Hyundai,2000,55,male,speedy,yes,33,urban
Renault,2000,38,male,rational,yes,40,highway
Mercedes Benz,2000,58,female,rational,yes,34,urban
Ford,1600,35,female,speedy,no,38,highway
Volkswagen,1600,59,male,speedy,yes,35,urban
Volkswagen,1300,59,female,speedy,no,37,urban
Vauxhall,2000,49,male,rational,yes,30,urban
Opel,1600,32,male,rational,yes,38,urban
Honda,1000,50,male,rational,no,25,highway
Peugeot,2000,39,male,rational,yes,35,highway
Volkswagen,1300,58,female,speedy,yes,47,highway
Ford,1600,39,female,rational,yes,40,highway
Toyota,1600,54,female,distracted,no,37,highway
Hyundai,1600,25,male,rational,yes,46,highway
Skoda,1600,63,male,speedy,no,42,urban
